Region_Type,Region_Name,Region_Name_Code,URL
Districts,IDN.11.349,"Aceh Barat Daya, Kab.",
Districts,IDN.11.1,"Aceh Barat, Kab.",
Districts,IDN.11.2,"Aceh Besar, Kab.",
Districts,IDN.11.353,"Aceh Jaya, Kab.",
Districts,IDN.11.8,"Aceh Pidie, Kab.",
Districts,IDN.11.3,"Aceh Selatan, Kab.",
Districts,IDN.11.294,"Aceh Singkil, Kab.",
Districts,IDN.11.351,"Aceh Tamiang, Kab.",
Districts,IDN.11.4,"Aceh Tengah, Kab.",
Districts,IDN.11.5,"Aceh Tenggara, Kab.",
Districts,IDN.11.6,"Aceh Timur, Kab.",
Districts,IDN.11.7,"Aceh Utara, Kab.",
Districts,IDN.31.991,"Adm. Kepulauan Seribu, Kab.",
Districts,IDN.13.28,"Agam, Kab.",
Districts,IDN.53.254,"Alor, Kab.",
Cities,IDN.81.269,"Ambon, Kota",
Districts,IDN.12.11,"Asahan, Kab.",
Districts,IDN.94.380,"Asmat, Kab.",
Districts,IDN.51.238,"Badung, Kab.",
Districts,IDN.63.392,"Balangan, Kab.",
Provinces,IDN.51,"Bali, Prop.",http://dbpedia.org/resource/Bali
Cities,IDN.64.197,"Balikpapan, Kota",
Cities,IDN.11.9,"Banda Aceh, Kota",
Cities,IDN.18.71,"Bandar Lampung, Kota",
Districts,IDN.32.446,"Bandung Barat, Kab.",
Districts,IDN.32.72,"Bandung, Kab.",
Cities,IDN.32.88,"Bandung, Kota",
Districts,IDN.72.326,"Banggai Kepulauan, Kab.",
Districts,IDN.72.205,"Banggai, Kab.",
Districts,IDN.19.407,"Bangka Barat, Kab.",
Districts,IDN.19.408,"Bangka Selatan, Kab.",
Districts,IDN.19.405,"Bangka Tengah, Kab.",
Districts,IDN.19.288,"Bangka, Kab.",
Districts,IDN.35.133,"Bangkalan, Kab.",
Districts,IDN.51.239,"Bangli, Kab.",
Cities,IDN.63.320,"Banjar Baru, Kota",
Districts,IDN.63.183,"Banjar, Kab.",
Cities,IDN.32.371,"Banjar, Kota",
Cities,IDN.63.192,"Banjarmasin, Kota",
Districts,IDN.33.93,"Banjarnegara, Kab.",
Districts,IDN.73.210,"Bantaeng, Kab.",
Provinces,IDN.36,"Banten, Prop.",http://dbpedia.org/resource/Banten
Districts,IDN.34.128,"Bantul, Kab.",
Districts,IDN.16.355,"Banyuasin, Kab.",
Districts,IDN.33.94,"Banyumas, Kab.",
Districts,IDN.35.134,"Banyuwangi, Kab.",
Districts,IDN.63.184,"Barito Kuala, Kab.",
Districts,IDN.62.177,"Barito Selatan, Kab.",
Districts,IDN.62.362,"Barito Timur, Kab.",
Districts,IDN.62.178,"Barito Utara, Kab.",
Districts,IDN.73.211,"Barru, Kab.",
Cities,IDN.21.306,"Batam, Kota",
Districts,IDN.33.95,"Batang, Kab.",
Districts,IDN.15.49,"Batanghari, Kab.",
Districts,IDN.12.439,"Batu Bara, Kab.",
Cities,IDN.35.346,"Batu, Kota",
Cities,IDN.74.348,"Bau-bau, Kota",
Districts,IDN.32.73,"Bekasi, Kab.",
Cities,IDN.32.89,"Bekasi, Kota",
Districts,IDN.19.406,"Belitung Timur, Kab.",
Districts,IDN.19.289,"Belitung, Kab.",
Districts,IDN.53.255,"Belu, Kab.",
Districts,IDN.11.411,"Bener Meriah, Kab.",
Districts,IDN.14.42,"Bengkalis, Kab.",
Districts,IDN.61.318,"Bengkayang, Kab.",
Districts,IDN.17.61,"Bengkulu Selatan, Kab.",
Districts,IDN.17.468,"Bengkulu Tengah, Kab.",
Districts,IDN.17.62,"Bengkulu Utara, Kab.",
Cities,IDN.17.64,"Bengkulu, Kota",
Provinces,IDN.17,"Bengkulu, Prop.",http://dbpedia.org/resource/Bengkulu
Districts,IDN.64.193,"Berau, Kab.",
Districts,IDN.94.270,"Biak Numfor, Kab.",
Districts,IDN.52.247,"Bima, Kab.",
Cities,IDN.52.369,"Bima, Kota",
Cities,IDN.12.22,"Binjai, Kota",
Districts,IDN.21.46,"Bintan, Kab.",
Districts,IDN.11.295,"Bireuen, Kab.",
Cities,IDN.71.203,"Bitung, Kota",
Districts,IDN.35.135,"Blitar, Kab.",
Cities,IDN.35.162,"Blitar, Kota",
